date,followers,retweetcount,text,year,month,day,initial_character_lenght,most_frequent_word,most_frequent_bigramm
2022-07-03 13:42:00,1749,2,"κάθε άτομο με μήτρα πρέπει να έχει δικαίωμα στην άμβλωση. αυτός ο κόσμος δεν είναι η εκκλησία σας, αν δεν σας αρέσουν οι αμβλώσεις μην κάνετε. όσα άτομα θέλουν θα κάνουν, εσείς τον σταυρό σας και ύπνο.",2022,7,3,201,σας,"κάθε,άτομο"
2022-07-03 13:35:12,28,2,"κάθε άτομο με μήτρα πρέπει να έχει δικαίωμα στην άμβλωση. αυτός ο κόσμος δεν είναι η εκκλησία σας, αν δεν σας αρέσουν οι αμβλώσεις μην κάνετε. όσα άτομα θέλουν θα κάνουν, εσείς τον σταυρό σας και ύπνο.",2022,7,3,201,σας,"κάθε,άτομο"
2022-07-03 13:26:31,7190,2,όταν η μαρία κυπριωτάκη περνούσε τον νόμο για τις αμβλώσεις στην ελλάδα -οι αντιδράσεις της αντιπολίτευσης https://t.co/bcdh5fhsfl,2022,7,3,130,όταν,"όταν,μαρία"
2022-07-03 13:24:00,2399,6,"επειδή τίποτε δεν είναι αυτονόητο &amp;  δεν έγινε «απο μονο του». το πασοκ το 1986 με την μαρία κυπριωτάκη σταμάτησε τα παράνομα «σφαγεία» γυναικών στα υπόγεια και νομιμοποίησε τις αμβλώσεις στην ελλάδα
ακούστε μας ⁦⁦@arisdimokidis⁩ ⁦@lifomag⁩  https://t.co/zdquhackvv",2022,7,3,269,επειδή,"επειδή,τίποτε"
2022-07-03 13:13:20,1511,7,"σήμερα (3/7) στις 20.30 στην κατάληψη λέλας καραγιάννη 37 προβολή για τις αμβλώσεις στις ηπα.
αύριο (4/7) στις 19.30 συγκέντρωση &amp; διαδήλωση στο σύνταγμα ενάντια στη συγκάλυψη του παιδοβιαστή λιγνάδη 
ενάντια σε κράτος και πατριαρχία
για τη χειραφέτηση και την αναρχία
#antireport https://t.co/5poeulgqms",2022,7,3,308,στις,"σήμερα,στις"
2022-07-03 13:04:42,6033,2,όταν η μαρία κυπριωτάκη περνούσε τον νόμο για τις αμβλώσεις στην ελλάδα -οι αντιδράσεις της αντιπολίτευσης https://t.co/bcdh5fhsfl,2022,7,3,130,όταν,"όταν,μαρία"
2022-07-03 13:04:10,1714,2,όταν η μαρία κυπριωτάκη περνούσε τον νόμο για τις αμβλώσεις στην ελλάδα -οι αντιδράσεις της αντιπολίτευσης https://t.co/bcdh5fhsfl,2022,7,3,130,όταν,"όταν,μαρία"
2022-07-03 12:47:03,2787,0,δύο αμβλώσεις για μία γέννηση - μεγάλη έλλειψη ενημέρωσης των νέων για μεθόδους αντισύλληψης https://t.co/c3viwxckbk,2022,7,3,116,δύο,"δύο,αμβλώσεις"
2022-07-03 12:41:03,3581,0,"ηπα: οι αμβλώσεις ""δυνατό χαρτί"" δημοκρατικών και ρεπουμπλικανών ενόψει των εκλογών του νοεμβρίου  #επικαιρότητα #διεθνή #ηπα https://t.co/uzzoprhuf4",2022,7,3,149,ηπα,"ηπα,αμβλώσεις"
2022-07-03 12:28:16,148,251,"στιγμιότυπο από τη χειρότερη ανθρωπιστική κρίση του 21ου αιώνα.. υεμένη και πάλι, δεν θα ξεχάσουμε να αναφέρουμε αυτά τα παιδιά ποτε! 

#yemencantwait #yemen #biden #bidenisafailure #ukraine #russia #natosummit #nato #νδ_αλητες #αμβλωσεις https://t.co/4qs6ttfycg",2022,7,3,262,στιγμιότυπο,"στιγμιότυπο,από"
2022-07-03 12:16:44,172992,0,"ηπα: υποψήφια των ρεμπουμπλικάνων στο μίσιγκαν χαρακτηρίζει τις αμβλώσεις ""θυσίες παιδιών"" #news247 https://t.co/un5dlyteft",2022,7,3,123,ηπα,"ηπα,υποψήφια"
2022-07-03 12:09:58,525,1,"το διάβασα σε αγγλικό ακαουντ και θα το φωνάζω μέχρι να πεθάνω γιατί κι εγώ έτσι νιώθω. η ζωη ξεκινά με την πρώτη μας ανάσα, έξω από τη μήτρα της μάνας μας, και τελειώνει με την τελευταία όταν πεθάνουμε. δεν σκοτωνουμε κανενα παιδι. παιδιά σκότωσε η ρούλα από #πατρα #αμβλωσεις",2022,7,3,277,μας,"διάβασα,αγγλικό"
2022-07-03 11:52:41,229,0,"@mariliza13 πάνε διάβασε τι ισχύει όντως για τις αμβλώσεις πριν παπαγαλίσεις τις βλακείες που λέει ο κάθε πικραμένος ""ενεργός μπαμπάς"" στις ""φεμιχαζές"" και μετά μίλα για αξιοπρέπεια, αμόρφωτη pick me",2022,7,3,199,πάνε,"πάνε,διάβασε"
