date,followers,retweetcount,text,year,month,day,initial_character_lenght,most_frequent_word,most_frequent_bigramm
2022-06-28 16:58:00+00:00,2637,578,"τον ιανουάριο του 1692, ο αιδεσιμότατος samuel parris βλέπει την 9 ετών κόρη του elizabeth και την 11 ετών ξαδέρφη της abigail να πετάνε πράγματα και να βγάζουν περίεργες κραυγές.

ο parris είναι δήμαρχος ενός χωριού ονόματι σάλεμ.

#αμβλωσεις #roevwade 
1/",2022,6,28,257,ετών,"ιανουάριο,αιδεσιμότατος"
2022-06-28 16:47:38+00:00,1100,0,σε ρόλο τραμπ ο βελόπουλος: θέλει δημοψήφισμα για τις αμβλώσεις https://t.co/6gdxn7elbp,2022,6,28,87,ρόλο,"ρόλο,τραμπ"
2022-06-28 16:44:20+00:00,1312,137,"το σύνταγμα των ηπα συντάχθηκε το 1787.

όταν στο σάλεμ έκαιγαν γυναίκες.

#αμβλωσεις #roevswade 

25/",2022,6,28,102,σύνταγμα,"σύνταγμα,ηπα"
2022-06-28 16:43:04+00:00,428999,0,αδιανόητη δήλωση ιερέα για τις αμβλώσεις: τουλάχιστον η πισπιρίγκου τα γέννησε και μετά τα σκότωσε https://t.co/dejcl1aoei,2022,6,28,122,αδιανόητη,"αδιανόητη,δήλωση"
2022-06-28 16:42:37+00:00,3,228,"στιγμιότυπο από τη χειρότερη ανθρωπιστική κρίση του 21ου αιώνα.. υεμένη και πάλι, δεν θα ξεχάσουμε να αναφέρουμε αυτά τα παιδιά ποτε! 

#yemencantwait #yemen #biden #bidenisafailure #ukraine #russia #natosummit #nato #νδ_αλητες #αμβλωσεις https://t.co/4qs6ttfycg",2022,6,28,262,στιγμιότυπο,"στιγμιότυπο,από"
2022-06-28 16:41:42+00:00,2156,1,"γιατρομανωλάκης στα παραπολιτικά 90,1: «βήμα προς τα πίσω αυτό που συνέβη στις ηπα με τις αμβλώσεις» - τι είπε για την επιστροφή των γλυπτών https://t.co/vo2tw9yata",2022,6,28,164,γιατρομανωλάκης,"γιατρομανωλάκης,στα"
2022-06-28 16:41:08+00:00,64,0,"@slavko072 αυτή η πολιτιστική επανάσταση που έχει επιβληθεί στην δύση (απο την σεξουαλική απελευθέρωση, τον οικογενιακο προγραμματισμό, τις αμβλώσεις, τους λοατκι, κλπ) εχει επηρεασει περισσοτερο την κουλτουρα των λευκών. γι'αυτο η απόφαση των ηπα είναι ενα καλό βήμα ενάντια στην παρακμή.",2022,6,28,289,αυτή,"αυτή,πολιτιστική"
2022-06-28 16:34:06+00:00,26,1,"με ""προοδευτικές"" κυβερνήσεις : 
οι αμερικάνοι ποινικοποιούν τις αμβλώσεις, οι ισπανοί δολοφονούν ανθρώπους στη melilla κι εμείς δίνουμε ελαφρυντικά σε έναν παιδοκτόνο.
μιλήστε μου τώρα για ψήφους και μαλακίες.",2022,6,28,210,προοδευτικές,"προοδευτικές,κυβερνήσεις"
2022-06-28 16:29:45+00:00,1508,228,"στιγμιότυπο από τη χειρότερη ανθρωπιστική κρίση του 21ου αιώνα.. υεμένη και πάλι, δεν θα ξεχάσουμε να αναφέρουμε αυτά τα παιδιά ποτε! 

#yemencantwait #yemen #biden #bidenisafailure #ukraine #russia #natosummit #nato #νδ_αλητες #αμβλωσεις https://t.co/4qs6ttfycg",2022,6,28,262,στιγμιότυπο,"στιγμιότυπο,από"
2022-06-28 16:28:50+00:00,121,8,το να υποχρεώνεις για το εμβόλιο είναι το ίδιο με το να απαγορεύεις τις αμβλώσεις | πιτσιρίκος https://t.co/iqk8xn8nrn,2022,6,28,118,υποχρεώνεις,"υποχρεώνεις,εμβόλιο"
